"","undernourishment","child_wasting","child_stunting","child_mortality"
"Panama",12.5,3.33333333333333,18,4.57142857142857
"Papua New Guinea",NA,23.6666666666667,57,15.1428571428571
"Paraguay",13.375,3.33333333333333,8,6
"Peru",12.125,1.66666666666667,18.4285714285714,4.28571428571429
"Philippines",16.625,23.6666666666667,47.7142857142857,8
"Qatar",NA,4,1.14285714285714,2.28571428571429
"Romania",3.125,8.66666666666667,9.42857142857143,2.28571428571429
"Russian Federation",3.125,13,15.2857142857143,2.28571428571429
"Rwanda",46,7,53.7142857142857,10.8571428571429
"Saudi Arabia",8.875,17.6666666666667,11.7142857142857,2
"Senegal",14.125,30,23.5714285714286,12.8571428571429
"Serbia",7.125,13,8.57142857142857,1.71428571428571
"Sierra Leone",32,17,37.7142857142857,31.7142857142857
"Slovak Republic",4.25,8,4.71428571428571,1.71428571428571
"Somalia",NA,NA,NA,36.2857142857143
"South Africa",7.75,8.33333333333333,39.1428571428571,10.5714285714286
"South Sudan",NA,NA,NA,27.4285714285714
"Sri Lanka",11.25,50.3333333333333,24.7142857142857,2.57142857142857
"Sudan",25.125,56,54.5714285714286,18
"Suriname",10.625,18.3333333333333,13.7142857142857,5.71428571428571
"Syrian Arab Republic",NA,NA,NA,4.85714285714286
"Tajikistan",NA,18.6666666666667,25,9.71428571428571
"Tanzania",38.375,15,49.2857142857143,15.4285714285714
"Thailand",9.75,18,15,2.85714285714286
"Timor-Leste",31.125,48,69.4285714285714,13.7142857142857
"Togo",20.125,22,39.4285714285714,20.8571428571429
"Trinidad & Tobago",6.875,17.6666666666667,8.14285714285714,7.42857142857143
"Tunisia",5.375,7,11.8571428571429,3.71428571428571
"Turkey",3.125,6.33333333333333,14.1428571428571,3.42857142857143
"Turkmenistan",6.75,14,16.4285714285714,13.4285714285714
"Uganda",51.25,11.6666666666667,41.2857142857143,14
"Ukraine",4.375,4.33333333333333,8.57142857142857,2.57142857142857
"Uruguay",3.125,6.33333333333333,12.5714285714286,2.28571428571429
"Uzbekistan",7.875,16.6666666666667,18.4285714285714,6.57142857142857
"Venezuela",26.5,11.6666666666667,19,8.85714285714286
"Viet Nam",11.625,21.3333333333333,35.1428571428571,6
"Yemen",48.625,59.6666666666667,87.2857142857143,15.7142857142857
"Zambia",58.375,20.6666666666667,57.1428571428571,17.1428571428571
"Zimbabwe",64.125,11,38.7142857142857,14.2857142857143
